Code
SH.HIV.ARTC.FE.ZS
SH.HIV.ARTC.MA.ZS
FX.OWN.TOTL.FE.ZS
FX.OWN.TOTL.MA.ZS
SE.PRM.TENR.FE
SE.PRM.TENR.MA
SP.ADO.TFRT
SP.DYN.SMAM.FE
SP.DYN.SMAM.MA
SP.POP.DPND
SP.POP.AG00.FE.IN
SP.POP.AG00.MA.IN
SP.POP.AG01.FE.IN
SP.POP.AG01.MA.IN
SP.POP.AG02.FE.IN
SP.POP.AG02.MA.IN
SP.POP.AG03.FE.IN
SP.POP.AG03.MA.IN
SP.POP.AG04.FE.IN
SP.POP.AG04.MA.IN
SP.POP.AG05.FE.IN
SP.POP.AG05.MA.IN
SP.DYN.CBRT.IN
SH.STA.BRTC.ZS
SH.DTH.COMM.1534.FE.ZS
SH.DTH.COMM.1534.MA.ZS
SH.DTH.COMM.3559.FE.ZS
SH.DTH.COMM.3559.MA.ZS
SH.DTH.INJR.1534.FE.ZS
SH.DTH.INJR.1534.MA.ZS
SH.DTH.INJR.3559.FE.ZS
SH.DTH.INJR.3559.MA.ZS
SH.DTH.NCOM.1534.FE.ZS
SH.DTH.NCOM.1534.MA.ZS
SH.DTH.NCOM.3559.FE.ZS
SH.DTH.NCOM.3559.MA.ZS
SL.TLF.0714.FE.ZS
SL.TLF.0714.MA.ZS
SE.PRM.UNER.FE
SE.PRM.UNER.MA
SP.REG.BRTH.FE.ZS
SP.REG.BRTH.MA.ZS
SP.DYN.CONU.ZS
SP.DYN.CONM.ZS
SL.FAM.WORK.FE.ZS
SL.FAM.WORK.MA.ZS
IC.REG.COST.PC.FE.ZS
IC.REG.COST.PC.MA.ZS
SP.DYN.CDRT.IN
SG.DMK.HLTH.HB.ZS
SG.DMK.HLTH.WF.ZS
SG.DMK.HLTH.OT.ZS
SG.DMK.HLTH.SE.ZS
SG.DMK.HLTH.WH.ZS
SG.DMK.VISI.HB.ZS
SG.DMK.VISI.WF.ZS
SG.DMK.VISI.OT.ZS
SG.DMK.VISI.SE.ZS
SG.DMK.PRCH.HB.ZS
SG.DMK.PRCH.WF.ZS
SG.DMK.PRCH.OT.ZS
SG.DMK.PRCH.SE.ZS
SG.DMK.PRCH.WH.ZS
SG.DMK.VISI.WH.ZS
SH.FPL.SATI.ZS
SH.FPL.SATM.ZS
SE.TER.CUAT.BA.FE.ZS
SE.TER.CUAT.BA.MA.ZS
SE.SEC.CUAT.LO.FE.ZS
SE.SEC.CUAT.LO.MA.ZS
SE.SEC.CUAT.PO.FE.ZS
SE.SEC.CUAT.PO.MA.ZS
SE.PRM.CUAT.FE.ZS
SE.PRM.CUAT.MA.ZS
SE.TER.CUAT.ST.FE.ZS
SE.TER.CUAT.ST.MA.ZS
SE.SEC.CUAT.UP.FE.ZS
SE.SEC.CUAT.UP.MA.ZS
SE.TER.CUAT.MS.FE.ZS
SE.TER.CUAT.MS.MA.ZS
SE.TER.CUAT.DO.FE.ZS
SE.TER.CUAT.DO.MA.ZS
SL.EMP.MPYR.FE.ZS
SL.EMP.MPYR.MA.ZS
SL.AGR.EMPL.FE.ZS
SL.AGR.EMPL.MA.ZS
SL.IND.EMPL.FE.ZS
SL.IND.EMPL.MA.ZS
SL.SRV.EMPL.FE.ZS
SL.SRV.EMPL.MA.ZS
SL.EMP.TOTL.SP.FE.ZS
SL.EMP.TOTL.SP.FE.NE.ZS
SL.EMP.TOTL.SP.MA.ZS
SL.EMP.TOTL.SP.MA.NE.ZS
SL.EMP.TOTL.SP.NE.ZS
SL.EMP.1524.SP.FE.ZS
SL.EMP.1524.SP.FE.NE.ZS
SL.EMP.1524.SP.MA.ZS
SL.EMP.1524.SP.MA.NE.ZS
SL.EMP.1524.SP.NE.ZS
HD.HCI.EYRS
HD.HCI.EYRS.FE
HD.HCI.EYRS.MA
SE.SCH.LIFE.FE
SE.SCH.LIFE.MA
SH.STA.FGMS.ZS
SH.STA.FGMS.Q1.ZS
SH.STA.FGMS.Q2.ZS
SH.STA.FGMS.Q3.ZS
SH.STA.FGMS.Q4.ZS
SH.STA.FGMS.Q5.ZS
SP.HOU.FEMA.ZS
SG.POP.MIGR.FE.ZS
SE.LPV.PRIM.OOS.FE
SG.GEN.TECH.ZS
SE.LPV.PRIM.BMP.FE
SL.EMP.SMGT.FE.ZS
SE.TER.GRAD.FE.SI.ZS
SP.DYN.TFRT.IN
fin1.t.a.2
fin1.t.a.1
IC.FRM.FEMO.ZS
IC.FRM.FEMM.ZS
HD.HCI.STNT
HD.HCI.STNT.FE
HD.HCI.STNT.MA
NY.GDP.MKTP.CD
NY.GDP.MKTP.KD.ZG
NY.GDP.PCAP.KD
NY.GDP.PCAP.CD
SI.POV.GINI
NY.GNP.PCAP.CD
NY.GNP.PCAP.PP.CD
NY.GNP.ATLS.CD
SE.XPD.TOTL.GD.ZS
SE.XPD.PRIM.PC.ZS
SE.XPD.SECO.PC.ZS
SE.PRM.CMPL.FE.ZS
SE.PRM.CMPL.MA.ZS
SE.TER.CMPL.FE.ZS
SE.TER.CMPL.MA.ZS
HD.HCI.HLOS
HD.HCI.HLOS.FE
HD.HCI.HLOS.MA
SG.H2O.TM30.HH.ZS
SG.H2O.TL30.HH.ZS
SG.H2O.PRMS.HH.ZS
HD.HCI.OVRL
HD.HCI.OVRL.FE
HD.HCI.OVRL.LB.FE
HD.HCI.OVRL.UB.FE
HD.HCI.OVRL.LB
HD.HCI.OVRL.MA
HD.HCI.OVRL.LB.MA
HD.HCI.OVRL.UB.MA
HD.HCI.OVRL.UB
SH.IMM.IDPT
SH.IMM.MEAS
FP.CPI.TOTL.ZG
SL.ISV.IFRM.FE.ZS
SL.ISV.IFRM.MA.ZS
SL.TLF.ACTI.1524.FE.ZS
SL.TLF.ACTI.1524.FE.NE.ZS
SL.TLF.ACTI.1524.MA.ZS
SL.TLF.ACTI.1524.MA.NE.ZS
SL.TLF.CACT.FE.ZS
SL.TLF.CACT.FE.NE.ZS
SL.TLF.ACTI.FE.ZS
SL.TLF.CACT.MA.ZS
SL.TLF.CACT.MA.NE.ZS
SL.TLF.ACTI.MA.ZS
SL.TLF.ADVN.FE.ZS
SL.TLF.ADVN.MA.ZS
SL.TLF.BASC.FE.ZS
SL.TLF.BASC.MA.ZS
SL.TLF.INTM.FE.ZS
SL.TLF.INTM.MA.ZS
SL.TLF.TOTL.FE.IN
SL.TLF.TOTL.FE.ZS
SL.TLF.TOTL.IN
SG.LAW.EQRM.WK
SG.LAW.NODC.HR
SG.LAW.LEVE.PU
SG.LAW.CHMR
SE.LPV.PRIM.FE
SE.LPV.PRIM.MA
HD.HCI.LAYS
HD.HCI.LAYS.FE
HD.HCI.LAYS.MA
SG.LEG.DVAW
SG.LEG.SXHR.EM
SG.LEG.MRRP
SG.LEG.SXHR
SP.DYN.LE60.FE.IN
SP.DYN.LE60.MA.IN
SP.DYN.LE00.FE.IN
SP.DYN.LE00.MA.IN
SE.ADT.LITR.FE.ZS
SE.ADT.LITR.MA.ZS
SE.ADT.1524.LT.FM.ZS
SE.ADT.1524.LT.FE.ZS
SE.ADT.1524.LT.MA.ZS
SG.COK.HOUS.ZS
SG.COK.OTHR.ZS
SG.COK.OUTD.ZS
SG.COK.SBLD.ZS
SE.SEC.CMPT.LO.FE.ZS
SE.SEC.CMPT.LO.MA.ZS
SG.COK.CROP.ZS
SG.COK.CHCO.ZS
SG.COK.DUNG.ZS
SG.COK.ELEC.ZS
SG.COK.LPGN.ZS
SG.COK.STRW.ZS
SG.COK.WOOD.ZS
SE.LPV.PRIM.OOS.MA
SE.LPV.PRIM.BMP.MA
SG.OWN.PRRT.MR
SG.LAW.OBHB.MR
SG.OBT.IDCD.MR
SH.STA.MMRT
SH.MMR.LEVE
SH.MMR.WAGE.ZS
SG.OWN.HSNO.MA.ZS
SG.OWN.HSNO.MA.Q1.ZS
SG.OWN.HSNO.MA.Q2.ZS
SG.OWN.HSNO.MA.Q3.ZS
SG.OWN.HSNO.MA.Q4.ZS
SG.OWN.HSNO.MA.Q5.ZS
SG.OWN.LDNO.MA.ZS
SG.OWN.LDNO.MA.Q1.ZS
SG.OWN.LDNO.MA.Q2.ZS
SG.OWN.LDNO.MA.Q3.ZS
SG.OWN.LDNO.MA.Q4.ZS
SG.OWN.LDNO.MA.Q5.ZS
SG.OWN.HSAL.MA.ZS
SG.OWN.HSAL.MA.Q1.ZS
SG.OWN.HSAL.MA.Q2.ZS
SG.OWN.HSAL.MA.Q3.ZS
SG.OWN.HSAL.MA.Q4.ZS
SG.OWN.HSAL.MA.Q5.ZS
SG.OWN.HSAJ.MA.ZS
SG.OWN.HSAJ.MA.Q1.ZS
