"isInterpolated","useMicroData","CountryCode","CountryName","RegionCode","CoverageType","RequestYear","DataYear","DataType","PPP","PovertyLine","Mean","HeadCount","PovGap","PovGapSqr","Watts","Gini","Median","pr.mld","Polarization","ReqYearPopulation","SvyInfoID","Decile1","Decile2","Decile3","Decile4","Decile5","Decile6","Decile7","Decile8","Decile9","Decile10"
0,1,"BFA","Burkina Faso","SSA","N","1981","1994.25","X",222.242,3.2,36.65519,0.9398065,0.6780561,0.5237152,1.392329,0.4807249,21.98715,0.3852556,-1,6.98516,"BFA_N1994X",0.02246,0.03285,0.03968,0.04696,0.05497,0.06543,0.08115,0.1065,0.1554,0.3947
0,0,"BDI","Burundi","SSA","N","1981","1992","X",487.3273,3.2,39.21951,0.9589307,0.6144544,0.4263143,1.113303,0.3333381,31.85375,0.1824366,0.2822712,4.223195,"BDI_N1992X",0.03414,0.04526,0.05545,0.06542,0.07575,0.08721,0.101,0.1195,0.1505,0.2658
0,1,"CPV","Cabo Verde","SSA","N","1981","2001.77","X",47.56514,3.2,69.87867,0.8356679,0.5008829,0.3437401,0.9146117,0.524963,40.39861,0.4786267,-1,0.291602,"CPV_N2001X",0.01587,0.02564,0.03348,0.04232,0.05217,0.06488,0.08098,0.1046,0.1537,0.4264
0,1,"CMR","Cameroon","SSA","N","1981","1996","X",230.3753,3.2,128.8128,0.5859601,0.221176,0.1056672,0.3106225,0.4444676,82.36743,0.325144,-1,8.883016,"CMR_N1996X",0.0248,0.03617,0.04427,0.05116,0.05977,0.07018,0.08501,0.1113,0.1558,0.3615
0,1,"CAN","Canada","OHI","N","1981","1981","Y",1.284584,3.2,1273.999,0.007481242,0.004548039,0.003607123,0.0037151,0.3243864,1080.233,0.1977034,-1,24.9,"CAN_N1981Y",0.02634,0.04624,0.05865,0.06825,0.07892,0.09082,0.1056,0.126,0.1565,0.2427
0,0,"CAF","Central African Republic","SSA","N","1981","1992.43","X",267.8691,3.2,45.30418,0.890971,0.6570059,0.5317919,1.599466,0.6133075,21.30784,0.7409222,0.7126964,2.346797,"CAF_N1992X",0.006934,0.01297,0.02021,0.02909,0.04034,0.05523,0.07624,0.1091,0.1725,0.4773
0,1,"TCD","Chad","SSA","N","1981","2003","X",251.2962,3.2,43.20025,0.935709,0.5958495,0.419786,1.105613,0.3982457,31.7774,0.2676824,-1,4.610167,"TCD_N2003X",0.02465,0.03832,0.04741,0.05686,0.06726,0.0815,0.09852,0.1207,0.1577,0.3071
0,1,"CHL","Chile","LAC","N","1981","1987","Y",391.6442,3.2,364.9104,0.2146182,0.07494122,0.03919341,0.1125851,0.5621016,191.1389,0.5916716,-1,11.439144,"CHL_N1987Y",0.0116,0.02183,0.02942,0.0376,0.04707,0.05912,0.07618,0.1032,0.1601,0.4539
0,0,"CHN","China","EAP","A","1981","1981","Y",3.696112,3.2,34.98382,0.9931249,0.6420018,0.4465363,1.170426,-1,-1,-1,-1,993.885,"CHN_R1981Y",0,0,0,0,0,0,0,0,0,0
0,0,"CHN","China","EAP","R","1981","1981","Y",3.696112,3.2,29.60017,0.999152,0.6958989,0.5048887,1.311957,0.2472923,27.01447,0.1019581,0.2028512,793.935216,"CHN_R1981Y",0.04133,0.05658,0.06791,0.07757,0.08668,0.09607,0.1067,0.1203,0.1417,0.2052
0,0,"CHN","China","EAP","U","1981","1981","Y",3.696112,3.2,56.36052,0.9691935,0.4279937,0.2148381,0.6084513,0.1846182,53.66441,0.05896937,-1.59859,199.949784,"CHN_U1981Y",0.05232,0.06765,0.07631,0.08396,0.09142,0.09918,0.1077,0.1178,0.1318,0.1718
0,1,"COL","Colombia","LAC","N","1981","1992","Y",1196.955,3.2,277.7083,0.2378125,0.09776046,0.06100427,0.1028151,0.5145367,168.5626,0.7018257,-1,28.375991,"COL_N1992Y",0.01062,0.02617,0.03545,0.04453,0.05498,0.06739,0.08422,0.1099,0.1622,0.4046
0,1,"COM","Comoros","SSA","N","1981","2004","X",220.5725,3.2,271.9024,0.2964571,0.0974957,0.04491033,0.1366207,0.5592516,145.5901,0.546712,-1,0.317606,"COM_N2004X",0.01539,0.02471,0.0324,0.04026,0.0483,0.05937,0.07307,0.09246,0.1331,0.481
0,1,"COD","Congo, Democratic Republic of","SSA","N","1981","2004.89","X",537.7323,3.2,64.56983,0.8344214,0.4601673,0.2962732,0.7876289,0.4216363,45.90031,0.3008181,-1,27.039468,"COD_N2004X",0.02205,0.03486,0.04467,0.05422,0.06519,0.07816,0.09598,0.1199,0.161,0.324
0,1,"COG","Congo, Republic of","SSA","N","1981","2005","X",296.5003,3.2,86.03186,0.7450359,0.3910537,0.2437426,0.6493326,0.4733054,54.91192,0.3799083,-1,1.894676,"COG_N2005X",0.01961,0.02935,0.03871,0.04742,0.05776,0.07086,0.08901,0.1147,0.164,0.3685
0,0,"CRI","Costa Rica","LAC","N","1981","1981","Y",343.7857,3.2,166.3867,0.4243868,0.2011805,0.1247591,0.354562,0.4749476,116.8132,0.4370442,0.4750657,2.454129,"CRI_N1981Y",0.01065,0.02282,0.03514,0.04812,0.06241,0.07899,0.09964,0.1283,0.1766,0.3373
